School name, Suggested Mascot, website, lat, long, osmLink
Dubois Elementary School,Dragons,https://www.sps186.org/o/dubois,0,0,https://www.openstreetmap.org/node/354101921
Westfield Elementary School,Cyclones,https://www.whsd1.org,0,0,https://www.openstreetmap.org/node/354154927
Saunemin Elementary School,Eagles,https://www.saunemin.org/,0,0,https://www.openstreetmap.org/node/354207209
Washington Elementary School,Panthers,https://www.panaschools.com/,0,0,https://www.openstreetmap.org/node/354210044
Paw Paw Elementary School,Bulldogs,https://www.2paws.net/,0,0,https://www.openstreetmap.org/node/354218709
Sowers Elementary School,Rockets,https://www.rb60.com/,0,0,https://www.openstreetmap.org/node/354224133
Rappahannock Elementary School,Junior,https://rces.rappahannockschools.us/,0,0,https://www.openstreetmap.org/node/356590800
Scott Elementary School,Free,https://scott.tisd.org/,0,0,https://www.openstreetmap.org/node/356789687
Poolville Elementary School,Monarchs,https://www.poolville.net/,0,0,https://www.openstreetmap.org/node/356810700
Adamsville Elementary School,Cardinals,https://aes.mcnairycountyschools.com/,0,0,https://www.openstreetmap.org/node/356848870
Martin Luther King, Jr. Elementary School,Lions,https://sdlancaster.org/explore-our-schools/elementary/king-es/,0,0,https://www.openstreetmap.org/node/357290416
Colebrookdale Elementary School,Bears,https://www.boyertownasd.org/Domain/12,0,0,https://www.openstreetmap.org/node/357380453
Bascom Elementary School,Vikings,https://labrae.school,0,0,https://www.openstreetmap.org/node/357394326
Mesa View Elementary School,Vikings,https://mesa-view.gccs.k12.nm.us/,0,0,https://www.openstreetmap.org/node/357610785
Wagon Mound Elementary School,Trojans,https://www.wm.k12.nm.us/,0,0,https://www.openstreetmap.org/node/357613892
Fairview Elementary School,Owls,https://fairview.middletownk12.org/,0,0,https://www.openstreetmap.org/node/357739308
Alice Costello Elementary School,Bears,https://www.alicecostello.com/,0,0,https://www.openstreetmap.org/node/357748470
Prairie View Elementary School,OG,https://www.opsd.org/,0,0,https://www.openstreetmap.org/node/357778824
North DeSoto Lower Elementary School,Little,https://www.desotopsb.com/o/north-desoto-le,0,0,https://www.openstreetmap.org/node/358380529
North DeSoto Upper Elementary School,Griffins,https://www.desotopsb.com/o/north-desoto-ue,0,0,https://www.openstreetmap.org/node/358400469
East Beauregard Elementary School,Lil,https://ebe.beau.k12.la.us/,0,0,https://www.openstreetmap.org/node/358400863
Morris Hill Elementary School,Panthers,https://morrishillelementary.usd475.org,0,0,https://www.openstreetmap.org/node/358641382
Nathan Hale Elementary School,Oilers,https://www.whiting.k12.in.us/o/wms,0,0,https://www.openstreetmap.org/node/358673003
Lawton Chiles Elementary School,Falcons,https://www.hillsboroughschools.org/chiles,0,0,https://www.openstreetmap.org/node/358744482
Ethel Phillips Elementary School,dragons,https://ethelphillips.scusd.edu/,0,0,https://www.openstreetmap.org/node/358772629
Arroyo Elementary School,Macaw,https://arroyo.simivalleyusd.org/,0,0,https://www.openstreetmap.org/node/358779963
Barbara Webster Elementary School,Bobcats,https://barbarawebster.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358780296
Blanchard Elementary School,Beagles,https://blanchard.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358780897
Crestview Elementary School,CATS,https://crestview.simivalleyusd.org/,0,0,https://www.openstreetmap.org/node/358782697
Glen City Elementary School,Grizzlies,https://glencity.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358784783
McKevett Elementary School,Mustangs,https://mckevett.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358788870
John Sinnott Elementary School,Wildcats,https://sinnott.musd.org,0,0,https://www.openstreetmap.org/node/358838402
Thelma B Bedell Elementary School,Bulldogs,https://thelmabedell.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358846898
Holly Harshman Elementary School,Bearcats,https://www.menaschools.org/o/holly-harshman-elementary-school,0,0,https://www.openstreetmap.org/node/358996656
Louise Durham Elementary School,Bearcats,https://www.menaschools.org/o/louise-durham-elementary-school,0,0,https://www.openstreetmap.org/node/359021870
Hunt Elementary School,Huskies,https://hunt.sdale.org/,0,0,https://www.openstreetmap.org/node/1127325946
Redwood Shores Elementary,Seals,https://redwoodshores.brssd.org/,0,0,https://www.openstreetmap.org/node/1437820274
