School name,Suggested Mascot,website,osmLink
Swanson Middle School,Admirals,https://swanson.apsva.us/,https://www.openstreetmap.org/way/1010855597
Washington Middle School,Bakersfield,https://washington.bcsd.com,https://www.openstreetmap.org/way/58887330
Crystal River Middle School,Bearcats,https://crm.citrusschools.org/,https://www.openstreetmap.org/way/679342701
Douglas Middle School,Bearkits,https://dms.ccsd1.org/,https://www.openstreetmap.org/way/406691608
Boyertown Middle School West,Bears,https://www.boyertownasd.org/Domain/10,https://www.openstreetmap.org/way/81105496
James Bowie Middle School,BEARS,https://www.fortbendisd.com/jbms,https://www.openstreetmap.org/way/457328702
Beechwood Middle School,Bengals,http://bms.lexington1.net/,https://www.openstreetmap.org/way/849340818
South Hills Middle School,Black,https://shms.bloomfield.org/,https://www.openstreetmap.org/way/1052694107
First Colony Middle School,BOBCATS,https://www.fortbendisd.com/fcms,https://www.openstreetmap.org/node/12657831084
Walter T. Bergen Middle School,Bobcats,https://wtb.bpsnj.org/,https://www.openstreetmap.org/way/276428184
Bridgewater Middle School,Bobcats,https://bridgewaterms.ocps.net/,https://www.openstreetmap.org/way/943438790
Holly Pond Middle School,Broncos,https://hpm.ccboe.org/,https://www.openstreetmap.org/node/7807483121
Middle School 331,Bronx,https://www.ms331.com/,https://www.openstreetmap.org/node/8547141650
Buddy Taylor Middle School,BTMS,https://www.btmseagles.com/,https://www.openstreetmap.org/way/148482832
Deerlake Middle School,Bucks,https://www.leonschools.net/deerlake,https://www.openstreetmap.org/way/144849300
Wortham Middle School,Bulldogs,https://www.worthamisd.org/,https://www.openstreetmap.org/node/12312826262
Woodrow Wilson Middle School,Bulldogs,https://www.hillsboroughschools.org/wilsonms,https://www.openstreetmap.org/way/32690178
Bush Middle School,Bulldogs,https://www.neisd.net/bush/,https://www.openstreetmap.org/way/80890815
Memorial Middle School,Bulldogs,https://www.hillsboroughschools.org/memorial,https://www.openstreetmap.org/way/90141966
Mill Creek Middle School,Bulldogs,https://www.kent.k12.wa.us/o/mcms,https://www.openstreetmap.org/way/265732297
Bell Creek Middle School,Bulldogs,https://bcms.hcps.us/,https://www.openstreetmap.org/way/575073949
Fillmore Middle School,Bulldogs,https://fillmoremiddleschool.fillmoreusd.org,https://www.openstreetmap.org/way/804760914
Suwannee Middle School,Bullpups,https://sms.suwannee.k12.fl.us/,https://www.openstreetmap.org/way/693608398
F.D. Moon Middle School,Cardinals,https://www.okcps.org/moon,https://www.openstreetmap.org/way/497274881
Thurman White Middle School,Challengers,https://www.thurmanwhitems.com/,https://www.openstreetmap.org/relation/19665350
Charlotte Wood Middle School,Chargers,https://cwms.srvusd.net,https://www.openstreetmap.org/way/231410289
Shenandoah Middle School,Chiefs,https://shenandoahmiddle.com/,https://www.openstreetmap.org/way/522268810
Home Street Middle School,Colts,https://www.bishopschools.org/o/hsms,https://www.openstreetmap.org/way/608726450
Moriarty Middle School,Colts,https://mms.mesd.us/,https://www.openstreetmap.org/way/1146417216
Isbell Middle School,Condors,https://isbell.santapaulausd.org/,https://www.openstreetmap.org/node/358786416
Athey Creek Middle School,Cougars,https://www.wlwv.k12.or.us/acms,https://www.openstreetmap.org/way/144914386
Rosa Parks Middle School,Cougars,https://www.whd147.org/schools/rosa-parks-middle-school/,https://www.openstreetmap.org/way/273305312
Canfield Middle School,Cougars,https://www.cdaschools.org/canfield,https://www.openstreetmap.org/way/570946231
Colina Middle School,Cougars,https://conejousdorg-28-us-west1-01.preview.finalsitecdn.com/,https://www.openstreetmap.org/way/697672644
South Hills Middle School,Cougars,https://sh.tfsd.org/,https://www.openstreetmap.org/way/1043342385
Kilmer Middle School,Cougars,https://kilmerms.fcps.edu/,https://www.openstreetmap.org/way/1110827443
Cope Middle School,Cougars,https://cope.bossierschools.org/,https://www.openstreetmap.org/way/1302099766
Rosemont Ridge Middle School,Coyotes,https://www.wlwv.k12.or.us/rrms,https://www.openstreetmap.org/way/144463103
Camden Middle School,Cubs,https://cms.ccsnc.org/o/cms,https://www.openstreetmap.org/way/1306689148
Rancho Milpitas Middle School,Dons,https://rancho.musd.org/home,https://www.openstreetmap.org/node/358773208
Wayne Carle Middle School,Eagles,https://waynecarle.jeffcopublicschools.org/,https://www.openstreetmap.org/way/201223667
Chichester Middle School,Eagles,https://ms.chichestersd.org,https://www.openstreetmap.org/way/284764928
Diablo Vista Middle School,Eagles,https://dvms.srvusd.net,https://www.openstreetmap.org/way/500483690
Louis L. Redding Middle School,Eagles,https://www.reddingms.org/,https://www.openstreetmap.org/way/766098458
Vulture Peak Middle School,Eagles,https://www.wickenburgschools.org/Domain/10,https://www.openstreetmap.org/way/769561542
East Hoke Middle School,Eagles,https://ehms.hcs.k12.nc.us/,https://www.openstreetmap.org/way/1086440641
Gwendolyn Brooks Middle School,Eagles,https://www.op97.org/brooks,https://www.openstreetmap.org/way/1158584843
McCarroll Middle School,Eagles,https://www.decaturisd.us/o/mms,https://www.openstreetmap.org/way/1414487004
Floyd Light Middle School,Falcons,https://flms.ddouglas.k12.or.us/,https://www.openstreetmap.org/way/142540174
Krueger Middle School,Falcons,https://www.neisd.net/krueger,https://www.openstreetmap.org/way/187614771
Valleywood Middle School,Falcons,https://www.kentwoodps.org/ourschools/middle-schools/valleywoodmiddleschool/,https://www.openstreetmap.org/way/718880537
East Hartford Middle School,Falcons,https://ehms.easthartford.org,https://www.openstreetmap.org/way/1095508181
